country,food_name,description,url
Algeria,Mozzarella Stix - Italian Herbs & Olive Oil,Per 2 stix - Calories: 120kcal | Fat: 6.00g | Carbs: 10.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/alexia/mozzarella-stix---italian-herbs-and-olive-oil
Algeria,Focaccia - Italian Style Rolls with Asiago & Parmesan Cheeses,Per 1 roll - Calories: 110kcal | Fat: 2.00g | Carbs: 19.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/alexia/focaccia---italian-style-rolls-with-asiago-and-parmesan-cheeses
Algeria,Classic Oven Crinkles French Fries,Per 3 oz - Calories: 120kcal | Fat: 4.00g | Carbs: 19.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/alexia/classic-oven-crinkles-french-fries
Algeria,Mashed Potatoes Red Potatoes with Garlic & Parmesan,Per 1/2 cup - Calories: 170kcal | Fat: 6.00g | Carbs: 23.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/alexia/mashed-potatoes-red-potatoes-with-garlic-and-parmesan
Algeria,Oven Fries - Olive Oil & Sea Salt,Per 3 oz - Calories: 90kcal | Fat: 2.00g | Carbs: 16.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/alexia/oven-fries---olive-oil-and-sea-salt
Algeria,Crispy Beer Battered Onion Rings,Per 6 rings - Calories: 180kcal | Fat: 8.00g | Carbs: 24.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/alexia/crispy-beer-battered-onion-rings
Algeria,Waffle Cut Sweet Potato Fries,Per 1 cup - Calories: 170kcal | Fat: 5.00g | Carbs: 20.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/alexia/waffle-cut-sweet-potato-fries
Algeria,Sweet Potato Crispy Bite-Sized Puffs,Per 2/3 cup - Calories: 140kcal | Fat: 4.50g | Carbs: 23.00g | Protein: 1.00g,https://foods.fatsecret.com/calories-nutrition/alexia/sweet-potato-crispy-bite-sized-puffs
Algeria,Cheddar Bites,Per 3 pieces - Calories: 110kcal | Fat: 6.00g | Carbs: 8.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/alexia/cheddar-bites
Algeria,"Saute Sweets (Sweet Potatoes with Black Beans, Sweet Corn, Red Bell Peppers & Onions)",Per 1 cup - Calories: 240kcal | Fat: 11.00g | Carbs: 30.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/alexia/saute-sweets-(sweet-potatoes-with-black-beans-sweet-corn-red-bell-peppers-and-onions)
Algeria,Organic Vegetable Medley,Per 2/3 cup - Calories: 50kcal | Fat: 0.50g | Carbs: 10.00g | Protein: 2.00g,https://foods.fatsecret.com/calories-nutrition/alexia/organic-vegetable-medley
Algeria,Sweet Potato Sea Salt & Pepper,Per 30 pieces - Calories: 160kcal | Fat: 8.00g | Carbs: 20.00g | Protein: 1.00g,https://foods.fatsecret.com/calories-nutrition/alexia/sweet-potato-sea-salt-and-pepper
Andorra,Bite Size Cheese Ravioli,Per 10 pieces - Calories: 140kcal | Fat: 1.00g | Carbs: 26.00g | Protein: 7.00g,https://foods.fatsecret.com/calories-nutrition/andrea/bite-size-cheese-ravioli
Andorra,Lobster Ravioli,Per 3 cooked pieces - Calories: 192kcal | Fat: 3.00g | Carbs: 30.00g | Protein: 10.00g,https://foods.fatsecret.com/calories-nutrition/andrea/lobster-ravioli
Andorra,Large Round Cheese Ravioli,Per 4 pieces - Calories: 230kcal | Fat: 4.50g | Carbs: 36.00g | Protein: 11.00g,https://foods.fatsecret.com/calories-nutrition/andrea/large-round-cheese-ravioli
Andorra,Cavatelli,Per 1 cup - Calories: 370kcal | Fat: 1.00g | Carbs: 76.00g | Protein: 15.00g,https://foods.fatsecret.com/calories-nutrition/andrea/cavatelli
Andorra,Potato Gnocchi,Per 1 cup - Calories: 290kcal | Fat: 2.00g | Carbs: 59.00g | Protein: 10.00g,https://foods.fatsecret.com/calories-nutrition/andrea/potato-gnocchi
Andorra,Milk Chocolate Calcium Supplement,Per 1 - Calories: 30kcal | Fat: 2.00g | Carbs: 3.00g | Protein: 0.00g,https://foods.fatsecret.com/calories-nutrition/adora/milk-chocolate-calcium-supplement
Andorra,Dark Chocolate Calcium Supplement,Per 1 disk - Calories: 30kcal | Fat: 2.00g | Carbs: 3.00g | Protein: 0.00g,https://foods.fatsecret.com/calories-nutrition/adora/dark-chocolate-calcium-supplement
Argentina,Corned Beef,Per 1 serving - Calories: 90kcal | Fat: 5.00g | Carbs: 5.00g | Protein: 6.00g,https://foods.fatsecret.com/calories-nutrition/argentina/corned-beef
